id,name,type,path
1,Beach Sunset,photo,/images/beach-sunset.jpg
2,Mountain Timelapse,video,/videos/mountain-timelapse.mp4
3,Relaxing Rain Sounds,audio,/audio/relaxing-rain.mp3
4,City Nightscape,photo,/images/city-nightscape.jpg
5,Ocean Waves,video,/videos/ocean-waves.mp4
6,Forest Ambience,audio,/audio/forest-ambience.mp3
7,Autumn Leaves,photo,/images/autumn-leaves.jpg
8,Wildlife Documentary,video,/videos/wildlife-documentary.mp4
9,Meditation Music,audio,/audio/meditation-music.mp3
10,Northern Lights,photo,/images/northern-lights.jpg
